05:34:15.865 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.866 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.868 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.868 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.869 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.871 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.872 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.873 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.875 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.877 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.877 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.879 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.879 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.880 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.882 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.883 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:140.54399999999998,gaze_y:863.8799999999999
05:34:15.885 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:140.54399999999998,gaze_y:863.8799999999999
05:34:15.886 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:140.54399999999998,gaze_y:863.8799999999999
05:34:15.887 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:140.54399999999998,gaze_y:863.8799999999999
05:34:15.889 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:140.54399999999998,gaze_y:863.8799999999999
05:34:15.890 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:140.54399999999998,gaze_y:863.8799999999999
05:34:15.891 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:140.54399999999998,gaze_y:863.8799999999999
05:34:15.892 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:140.54399999999998,gaze_y:863.8799999999999
05:34:15.893 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:140.54399999999998,gaze_y:863.8799999999999
05:34:15.894 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:140.54399999999998,gaze_y:863.8799999999999
05:34:15.894 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:140.54399999999998,gaze_y:863.8799999999999
05:34:15.896 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.897 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.897 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.899 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.900 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.902 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.903 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.903 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.905 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.906 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.907 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.908 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.909 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.910 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:149.76,gaze_y:837.24
05:34:15.917 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:128.16000000000003,gaze_y:859.74
05:34:15.919 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:128.16000000000003,gaze_y:859.74
05:34:15.919 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:128.16000000000003,gaze_y:859.74
05:34:15.920 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:128.16000000000003,gaze_y:859.74
05:34:15.922 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:128.16000000000003,gaze_y:859.74
05:34:15.922 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:128.16000000000003,gaze_y:859.74
05:34:15.924 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:128.16000000000003,gaze_y:859.74
05:34:15.925 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:128.16000000000003,gaze_y:859.74
05:34:15.925 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:128.16000000000003,gaze_y:859.74
05:34:15.927 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.928 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.928 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.930 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.930 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.931 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.933 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.933 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.935 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.936 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.937 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.939 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.939 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.941 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.942 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.943 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:162.86400000000003,gaze_y:845.8800000000001
05:34:15.945 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.946 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.948 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.949 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.949 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.951 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.952 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.952 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.953 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.955 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.956 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.956 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.958 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.959 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.960 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.960 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.961 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.963 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.964 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.965 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.967 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.968 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.970 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.971 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.972 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.974 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.975 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.976 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.978 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.979 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.979 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.981 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.982 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.982 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.984 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.985 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.985 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.987 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.988 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
